,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
39,matara,lk,5.95,80.54,83.21,87,16.8,92
40,gizo,sb,-8.1,156.84,78.53,100,13.89,92
41,carnarvon,au,-24.87,113.63,66.29,98,12.77,0
42,avarua,ck,-21.21,-159.78,78.8,94,11.41,75
43,vanavara,ru,60.35,102.28,41.54,93,2.59,20
44,grand gaube,mu,-20.01,57.66,71.6,83,2.24,40
45,new norfolk,au,-42.78,147.06,46.4,65,9.17,20
46,chuy,uy,-33.69,-53.46,75.74,63,15.23,8
47,busselton,au,-33.64,115.35,64.76,100,11.21,56
48,tuatapere,nz,-46.13,167.69,34.61,100,2.71,0
49,grindavik,is,63.84,-22.43,50.0,100,26.4,90
50,kumo,ng,10.05,11.21,86.54,51,5.39,12
51,buala,sb,-8.15,159.59,80.33,99,6.73,88
52,puerto ayora,ec,-0.74,-90.35,80.6,69,18.34,20
53,mau,in,25.94,83.57,89.78,44,14.23,0
54,baruun-urt,mn,46.68,113.28,45.32,76,2.93,0
55,ternate,id,0.8,127.4,80.24,100,6.62,92
56,portland,au,-33.35,149.98,46.49,99,3.6,76
57,muskegon,us,43.23,-86.25,93.2,38,8.05,1
58,saint-pierre,pm,46.77,-56.17,42.8,93,12.75,90
59,bredasdorp,za,-34.53,20.04,51.8,81,2.24,24
60,beidao,cn,34.57,105.89,49.28,74,2.59,88
61,worthington,us,43.62,-95.6,89.6,33,14.99,40
62,victoria,sc,-4.62,55.45,82.4,78,13.87,75
63,atuona,pf,-9.8,-139.03,80.24,100,14.79,0
64,tiksi,ru,71.64,128.87,33.53,94,6.62,92
65,yarkovo,ru,54.81,82.6,46.4,70,6.71,0
66,castro,cl,-42.48,-73.76,47.66,99,5.61,92
67,araioses,br,-2.89,-41.91,91.4,59,4.7,40
68,vaini,to,-21.2,-175.2,74.66,100,14.79,56
69,mahebourg,mu,-20.41,57.7,71.6,83,2.24,40
70,ulladulla,au,-35.36,150.48,55.4,93,6.93,90
71,kilrush,ie,51.96,-8.06,64.4,82,10.29,40
72,bisignano,it,39.5,16.27,75.2,50,16.11,40
73,umba,ru,66.69,34.34,51.71,67,16.24,12
74,leningradskiy,ru,69.38,178.42,27.14,100,8.63,64
75,hithadhoo,mv,-0.6,73.08,82.76,100,15.23,88
76,alofi,nu,-19.06,-169.92,75.2,100,4.7,75
77,severnoye,ru,54.09,52.54,54.23,59,11.1,64
78,upernavik,gl,72.79,-56.15,32.54,94,2.93,24
79,thompson,ca,55.74,-97.86,71.6,43,10.29,90
80,nanortalik,gl,60.14,-45.24,36.05,90,10.98,80
81,beringovskiy,ru,63.05,179.32,32.99,96,20.15,92
82,nuevo progreso,mx,17.14,-95.05,95.36,51,12.44,0
83,klaksvik,fo,62.23,-6.59,51.8,71,19.46,12
84,shingu,jp,33.72,135.99,69.53,98,12.44,92
85,nemuro,jp,43.32,145.57,47.93,95,8.08,76
86,qaanaaq,gl,77.48,-69.36,24.08,100,5.39,32
87,saint-philippe,re,-21.36,55.77,71.6,60,6.93,75
88,bluff,nz,-46.6,168.33,43.61,100,7.96,0
89,nouadhibou,mr,20.93,-17.03,69.8,64,20.8,0
90,ankazobe,mg,-18.32,47.12,59.0,93,6.93,20
91,nyurba,ru,63.29,118.35,41.54,69,2.59,8
92,solnechnyy,ru,50.72,136.64,66.65,41,6.06,0
93,dong hoi,vn,17.48,106.6,78.89,100,6.51,12
94,vila velha,br,-3.71,-38.6,86.0,66,11.41,40
95,ponta do sol,cv,17.2,-25.09,70.79,100,17.69,0
96,lebu,cl,-37.62,-73.65,54.23,100,11.32,80
97,chokurdakh,ru,70.62,147.9,25.16,100,9.31,8
98,katsuura,jp,33.93,134.5,64.85,99,5.73,100
99,sao filipe,cv,14.9,-24.5,72.95,93,17.36,0
100,fairbanks,us,64.84,-147.72,62.6,29,3.94,1
101,talara,pe,-4.58,-81.27,86.0,51,14.99,0
102,mangrol,in,25.33,76.51,92.03,42,1.92,80
103,fatehabad,in,27.03,78.3,91.76,29,10.42,80
104,finschhafen,pg,-6.6,147.85,71.78,94,2.71,68
105,campbell river,ca,50.02,-125.24,60.8,36,14.99,20
106,provideniya,ru,64.42,-173.23,33.26,93,21.5,56
107,kovdor,ru,67.56,30.47,47.93,78,10.42,48
108,jamestown,sh,-15.94,-5.72,73.13,100,21.72,76
109,vyazma,ru,55.21,34.3,67.01,52,9.08,0
110,anstruther,gb,56.22,-2.7,62.6,82,10.29,0
111,hermanus,za,-34.42,19.24,44.24,96,2.93,0
112,narsaq,gl,60.91,-46.05,48.2,29,6.93,75
113,hokitika,nz,-42.72,170.96,41.63,100,5.73,0
114,rolla,us,37.95,-91.77,87.8,51,12.75,75
115,wajir,ke,1.75,40.07,80.6,61,4.7,40
116,okhotsk,ru,59.36,143.24,42.17,61,7.85,8
117,amapa,br,-1.83,-56.23,90.77,55,4.72,44
118,noormarkku,fi,61.59,21.87,60.8,59,8.05,0
119,riyadh,sa,24.63,46.72,93.2,18,5.82,0
120,srednekolymsk,ru,67.46,153.71,41.54,82,2.37,20
121,kaitangata,nz,-46.28,169.85,24.62,65,3.71,0
122,zaria,ng,11.11,7.72,84.74,50,9.19,0
123,tura,ru,64.27,100.22,43.16,75,3.27,92
124,faanui,pf,-16.48,-151.75,81.14,100,13.22,12
125,inta,ru,66.04,60.13,30.29,82,3.27,36
126,oume,ci,6.38,-5.42,86.0,62,4.7,40
127,vestmannaeyjar,is,63.44,-20.27,51.26,86,24.18,12
128,tiznit,ma,29.7,-9.73,66.74,76,12.66,0
129,kupang,id,-10.16,123.6,78.35,92,12.1,0
130,mwingi,ke,-0.93,38.07,69.17,66,8.86,0
131,hualmay,pe,-11.1,-77.61,70.16,83,6.4,8
132,aklavik,ca,68.22,-135.01,41.0,60,4.7,20
133,nikolskoye,ru,59.7,30.79,66.2,37,8.95,0
134,tuktoyaktuk,ca,69.44,-133.03,28.4,92,8.05,90
135,hua hin,th,12.57,99.96,84.29,100,13.78,44
136,pevek,ru,69.7,170.27,33.98,90,18.03,76
137,mandera,ke,3.94,41.87,88.34,37,11.77,0
138,arraial do cabo,br,-22.97,-42.02,77.0,69,11.41,20
139,hirara,jp,24.8,125.28,83.21,95,10.2,0
140,limerick,ie,52.66,-8.63,75.2,57,13.87,20
141,saldanha,za,-33.01,17.94,53.6,81,3.94,0
142,altamira,br,-3.2,-52.21,89.6,59,5.82,40
143,jamsa,fi,61.86,25.19,71.6,43,11.41,0
144,kungurtug,ru,50.6,97.53,53.15,42,5.61,8
145,port alfred,za,-33.59,26.89,62.78,91,13.67,8
146,gigmoto,ph,13.78,124.39,82.13,100,7.07,80
147,sorland,no,67.67,12.69,44.6,93,11.41,75
148,acapulco,mx,16.86,-99.88,87.08,63,8.41,0
149,saint-augustin,ca,45.63,-73.98,77.0,41,4.7,20
150,dingle,ie,52.14,-10.27,61.97,82,7.29,24
151,batticaloa,lk,7.71,81.69,84.56,93,16.02,8
152,luderitz,na,-26.65,15.16,57.2,93,16.11,0
153,kirakira,sb,-10.46,161.92,79.25,100,13.22,88
154,barda,ru,56.93,55.59,42.35,99,3.83,92
155,kruisfontein,za,-34.0,24.73,58.28,95,11.1,0
156,kloulklubed,pw,7.04,134.26,77.0,94,8.86,90
157,aizkraukle,lv,56.6,25.25,76.46,53,4.05,0
158,sitka,us,37.17,-99.65,87.71,58,17.47,12
159,college,us,64.86,-147.8,62.6,29,3.94,1
160,cabo san lucas,mx,22.89,-109.91,91.4,17,13.87,5
161,port keats,au,-14.25,129.55,71.42,70,10.87,0
162,at-bashi,kg,41.17,75.81,32.99,71,2.48,0
163,ipixuna,br,-1.76,-48.8,82.4,78,8.05,75
164,lazaro cardenas,mx,28.39,-105.62,93.11,15,5.5,0
165,barcelona,ve,10.14,-64.69,82.76,92,8.52,0
166,maningrida,au,-12.05,134.23,75.47,81,14.79,0
167,inirida,co,3.87,-67.92,82.13,85,1.36,64
168,vikhorevka,ru,56.12,101.17,57.2,62,8.95,48
169,raudeberg,no,61.99,5.14,73.4,64,1.12,0
170,lulea,se,65.58,22.15,60.8,36,19.46,0
171,formosa do rio preto,br,-11.04,-45.19,87.44,39,13.67,0
172,saskylakh,ru,71.97,114.09,32.54,91,8.19,76
173,kapaa,us,22.08,-159.32,78.8,83,18.34,40
174,batagay,ru,67.65,134.64,35.69,96,7.63,76
175,clyde river,ca,70.47,-68.59,30.2,86,12.75,75
176,zermatt,ch,46.02,7.75,71.6,46,5.82,0
177,iqaluit,ca,63.75,-68.52,35.6,80,20.8,90
178,ponta do sol,pt,32.67,-17.1,66.2,72,12.75,20
179,erenhot,cn,43.65,111.97,48.65,75,2.59,12
180,constitucion,mx,23.99,-104.67,89.96,26,5.06,0
181,ilulissat,gl,69.22,-51.1,41.0,38,9.17,75
182,mooresville,us,39.61,-86.37,89.6,43,17.22,75
183,hilo,us,19.71,-155.08,73.4,88,8.05,90
184,bambous virieux,mu,-20.34,57.76,71.6,83,5.17,20
185,mumford,gh,5.26,-0.76,81.68,78,11.1,56
186,batagay-alyta,ru,67.8,130.41,30.38,60,5.73,76
187,hobart,au,-42.88,147.33,46.4,65,9.17,20
188,waipawa,nz,-39.94,176.59,44.69,87,10.09,92
189,ishigaki,jp,24.34,124.16,84.56,96,11.65,0
190,porosozero,ru,62.72,32.71,69.35,39,14.23,88
191,aksha,ru,50.28,113.29,47.75,79,2.59,0
192,vila franca do campo,pt,37.72,-25.43,68.0,88,10.29,20
193,zorritos,pe,-3.68,-80.68,82.4,65,13.87,0
194,cape town,za,-33.93,18.42,48.2,93,5.82,0
195,nabire,id,-3.36,135.5,68.72,97,2.04,92
196,shache,cn,38.42,77.24,47.65,65,3.74,0
197,talara,pe,-4.58,-81.27,82.4,51,19.46,0
198,urusha,ru,54.05,122.9,60.34,56,6.53,8
199,mangan,in,27.5,88.54,38.11,95,0.72,80
200,geraldton,au,-28.77,114.6,48.2,76,8.05,0
201,kayerkan,ru,69.35,87.76,34.51,92,8.43,92
202,les cayes,ht,18.19,-73.75,81.4,97,19.17,12
203,bredasdorp,za,-34.53,20.04,50.0,87,2.24,32
204,kodiak,us,39.95,-94.76,91.4,38,11.41,1
205,kulykiv,ua,49.98,24.08,62.6,67,2.24,0
206,general roca,ar,-39.03,-67.58,53.6,66,8.05,20
207,quelimane,mz,-17.88,36.89,68.0,82,2.24,0
208,rapid valley,us,44.06,-103.15,69.8,68,5.97,75
209,lebu,cl,-37.62,-73.65,53.32,100,13.47,48
210,charters towers,au,-20.07,146.27,56.47,90,5.86,0
211,chuy,uy,-33.69,-53.46,69.97,64,10.56,0
212,barrow,us,39.51,-90.4,80.6,65,11.9,1
213,sao filipe,cv,14.9,-24.5,71.5,98,16.49,0
214,talnakh,ru,69.49,88.39,34.33,92,6.98,92
215,turkmenabat,tm,39.09,63.58,68.0,13,6.93,0
216,victoria,sc,-4.62,55.45,82.4,78,18.34,40
217,teahupoo,pf,-17.83,-149.27,80.6,65,8.05,20
218,esperance,au,-33.86,121.89,41.8,80,7.54,0
219,hasaki,jp,35.73,140.83,64.4,100,1.12,75
220,lorengau,pg,-2.02,147.27,82.12,100,2.06,88
221,palm valley,us,26.2,-97.75,98.6,34,11.41,1
222,fortuna,us,40.6,-124.16,55.4,76,9.17,90
223,nantucket,us,41.28,-70.1,80.6,69,10.29,1
224,kompaniyivka,ua,48.25,32.21,63.4,32,10.22,0
225,nyandoma,ru,61.67,40.21,64.21,38,17.83,36
226,orlik,ru,52.51,99.83,31.9,96,1.95,44
227,isla mujeres,mx,21.23,-86.73,81.22,95,6.42,92
228,cidreira,br,-30.17,-50.22,68.35,80,6.76,8
229,nome,us,30.04,-94.42,93.2,49,4.7,40
230,espinosa,br,-14.92,-42.81,69.52,58,12.24,8
231,barcelos,br,-0.97,-62.93,84.82,75,4.18,8
232,vardo,no,70.37,31.11,46.4,93,14.99,90
233,brewster,us,41.76,-70.08,80.6,54,14.99,1
234,san ramon de la nueva oran,ar,-23.13,-64.33,79.51,70,3.74,44
235,vao,nc,-22.67,167.48,72.04,100,11.9,36
236,williams lake,ca,52.13,-122.14,51.8,34,5.82,75
237,touros,br,-5.2,-35.46,81.4,73,18.5,8
238,upernavik,gl,72.79,-56.15,33.16,91,2.62,44
239,vestmanna,fo,62.16,-7.17,50.0,81,19.46,12
240,bahia blanca,ar,-38.72,-62.27,57.64,77,7.65,92
241,tarko-sale,ru,64.92,77.78,22.9,81,7.43,44
242,batagay,ru,67.65,134.64,37.03,89,9.33,80
243,hermanus,za,-34.42,19.24,39.82,97,2.95,24
244,high level,ca,58.52,-117.13,51.8,71,5.82,75
245,bagaciu,ro,46.27,24.37,68.0,48,4.7,0
246,takoradi,gh,4.89,-1.75,78.7,100,5.64,68
247,novosheshminsk,ru,55.06,51.22,56.65,63,11.23,44
248,san rafael,ar,-34.61,-68.33,61.87,53,3.18,20
249,gornozavodsk,ru,58.37,58.33,39.82,100,5.64,88
250,kavaratti,in,10.57,72.64,77.89,100,21.3,92
251,hithadhoo,mv,-0.6,73.08,80.68,100,15.48,88
252,hualmay,pe,-11.1,-77.61,68.17,81,6.87,20
253,oltu,tr,40.55,42.0,50.62,100,1.28,88
254,sinop,tr,42.03,35.15,68.17,93,8.43,88
255,atuona,pf,-9.8,-139.03,80.05,100,13.35,48
256,marsh harbour,bs,26.54,-77.06,80.32,95,15.48,92
257,tiksi,ru,71.64,128.87,33.61,96,9.44,92
258,xiaoweizhai,cn,26.23,107.51,67.63,98,2.62,80
259,hamilton,bm,32.3,-64.78,78.8,78,18.34,90
260,gwembe,zm,-16.5,27.61,61.42,94,4.18,0
261,nortelandia,br,-14.45,-56.8,79.51,81,3.06,0
262,gilgit,pk,35.92,74.31,31.99,91,0.27,0
263,saint-philippe,re,-21.36,55.77,71.6,60,6.93,90
264,barahan,ph,13.01,120.76,78.07,100,5.97,0
265,kalmunai,lk,7.42,81.82,76.99,89,4.18,12
266,linjiang,cn,41.81,126.91,46.75,94,2.95,80
267,los llanos de aridane,es,28.66,-17.92,66.2,68,16.11,20
268,rio gallegos,ar,-51.62,-69.22,39.2,69,13.87,40
269,banda aceh,id,5.56,95.32,76.81,100,2.95,80
270,pevek,ru,69.7,170.27,35.05,89,15.59,80
271,cabo san lucas,mx,22.89,-109.91,76.18,96,9.1,0
272,vicuna,cl,-30.03,-70.71,62.6,72,8.05,0
273,volodarskiy,ru,46.4,48.54,53.6,37,2.24,0
274,deputatskiy,ru,69.3,139.9,33.34,95,3.96,32
275,aksarka,ru,66.56,67.8,27.31,90,11.68,88
276,santa rosa,ar,-36.62,-64.29,62.59,72,8.77,88
277,wonthaggi,au,-38.6,145.59,50.8,71,4.74,88
278,tevaitoa,pf,-16.78,-151.5,81.4,99,13.69,8
279,comodoro rivadavia,ar,-45.87,-67.48,53.6,89,17.22,20
280,lafiagi,ng,8.85,5.42,81.67,76,6.42,32
281,pisco,pe,-13.71,-76.2,66.2,82,8.05,0
282,half moon bay,us,37.46,-122.43,89.6,82,8.05,1
283,piltene,lv,57.23,21.67,68.0,60,2.24,0
284,faanui,pf,-16.48,-151.75,81.49,100,13.58,24
285,woodward,us,36.43,-99.39,87.8,45,16.11,75
286,guarapari,br,-20.67,-40.5,77.0,69,10.29,40
287,yulara,au,-25.24,130.99,51.8,53,9.17,0
288,poum,nc,-20.23,164.02,73.57,100,13.13,0
289,taltal,cl,-25.41,-70.49,61.51,78,2.73,0
290,pangnirtung,ca,66.15,-65.72,35.6,96,8.05,75
291,avarua,ck,-21.21,-159.78,80.6,88,14.99,75
292,namtsy,ru,62.72,129.66,44.14,51,11.9,0
293,hay river,ca,60.82,-115.79,50.0,66,16.11,75
294,adelaide,au,-34.93,138.6,57.2,50,11.41,75
295,egvekinot,ru,66.32,-179.17,34.87,95,3.18,8
296,antofagasta,cl,-23.65,-70.4,60.8,67,11.41,0
297,palm bay,us,28.03,-80.64,86.0,74,17.22,75
298,chapais,ca,49.78,-74.86,59.0,30,4.7,1
299,muli,mv,2.92,73.57,85.99,94,21.52,88
300,kahramanmaras,tr,37.58,36.93,73.4,60,12.75,75
301,yerbogachen,ru,61.28,108.01,45.67,77,6.42,8
302,hobyo,so,5.35,48.53,79.78,80,22.75,8
303,buluang,ph,10.47,123.98,82.4,83,3.36,90
304,port elizabeth,za,-33.92,25.57,57.2,76,13.87,0
305,constitucion,mx,23.99,-104.67,94.45,19,4.63,0
306,kargil,in,34.57,76.1,31.72,99,1.16,92
307,mar del plata,ar,-46.43,-67.52,47.83,63,9.78,0
308,ploemeur,fr,47.73,-3.43,64.4,93,3.36,68
309,carnarvon,au,-24.87,113.63,65.92,98,16.37,24
310,tautira,pf,-17.73,-149.15,84.2,62,6.93,20
311,darhan,mn,49.49,105.92,45.22,75,2.95,0
312,jamestown,sh,-15.94,-5.72,73.03,100,21.63,44
313,vanimo,pg,-2.67,141.3,81.04,100,4.29,56
314,te anau,nz,-45.41,167.72,22.54,79,5.3,8
315,puerto escondido,mx,15.86,-97.07,84.28,100,8.77,0
316,nikolskoye,ru,59.7,30.79,62.6,45,8.95,0
317,harper,lr,4.38,-7.71,81.49,100,10.78,12
318,aquiraz,br,-3.9,-38.39,86.0,66,11.41,40
319,cap malheureux,mu,-19.98,57.61,71.6,83,10.0,20
320,melita,ca,49.27,-100.98,75.55,65,8.32,80
321,tasiilaq,gl,65.61,-37.64,35.6,88,18.34,90
322,weinan,cn,34.5,109.46,60.8,77,2.24,0
323,bambous virieux,mu,-20.34,57.76,71.6,83,5.64,20
324,sitka,us,37.17,-99.65,90.67,43,14.14,32
325,port hawkesbury,ca,45.62,-61.36,46.4,100,16.11,90
326,port alfred,za,-33.59,26.89,60.79,97,10.67,0
327,severo-kurilsk,ru,50.68,156.12,41.26,87,8.21,20
328,richards bay,za,-28.77,32.06,61.78,100,4.63,92
329,mackay,au,-21.15,149.2,57.2,93,3.36,32
330,padang,id,-0.92,100.36,83.47,100,4.52,64
331,chumikan,ru,54.72,135.31,52.87,83,7.2,88
332,alice springs,au,-23.7,133.88,48.2,66,6.93,0
333,flinders,au,-34.58,150.85,57.2,87,10.29,75
334,bathsheba,bb,13.22,-59.52,86.0,66,20.8,40
335,atar,mr,20.52,-13.05,84.82,22,1.72,0
336,khatanga,ru,71.98,102.47,33.25,86,9.78,0
337,port lincoln,au,-34.72,135.86,54.22,100,10.78,68
338,kindu,cd,-2.95,25.92,74.92,85,4.41,8
339,centralia,us,46.72,-122.96,60.8,59,6.93,40
340,yumen,cn,40.29,97.04,50.08,59,7.54,0
341,znamenskoye,ru,57.13,73.82,30.1,83,3.29,0
342,ketchikan,us,55.34,-131.65,50.0,81,11.41,90
343,maloy,no,61.94,5.11,75.2,56,8.05,0
344,birao,cf,10.3,22.78,81.22,56,7.87,44
345,ribeira grande,pt,38.52,-28.7,68.0,64,12.75,40
346,mocuba,mz,-16.84,36.99,61.6,86,2.62,0
347,kedrovyy,ru,56.17,91.82,51.8,62,8.95,0
348,biak,id,-0.91,122.88,73.84,100,3.85,88
349,macusani,pe,-14.07,-70.43,53.86,100,2.62,76
350,turukhansk,ru,65.8,87.96,35.41,91,11.01,92
351,hilo,us,19.71,-155.08,73.4,94,8.05,90
352,fare,pf,-16.7,-151.02,81.4,99,13.69,8
353,karratha,au,-20.74,116.85,66.82,32,15.93,88
354,tazovskiy,ru,67.47,78.7,31.81,100,7.43,80
355,dovolnoye,ru,54.5,79.67,43.87,76,6.42,8
356,ribeira brava,pt,32.65,-17.07,66.2,72,11.41,20
357,garachine,pa,8.06,-78.36,81.94,100,6.87,64
358,bluff,nz,-46.6,168.33,42.52,100,7.87,0
359,dibulla,co,11.27,-73.31,96.8,44,11.41,20
360,tilichiki,ru,60.47,166.1,36.85,96,3.51,80
361,tutoia,br,-2.76,-42.27,89.6,62,5.82,20
362,san carlos de bariloche,ar,-41.13,-71.31,42.8,75,19.46,40
363,saldanha,za,-33.01,17.94,53.6,81,4.85,64
364,kaitangata,nz,-46.28,169.85,24.07,67,3.74,0
365,port alberni,ca,49.24,-124.81,60.8,51,12.75,20
366,naze,jp,28.37,129.48,75.91,100,8.55,0
367,kudahuvadhoo,mv,2.67,72.89,85.81,94,19.51,68
368,moorhead,us,46.87,-96.75,87.8,31,16.11,1
369,margate,za,-30.86,30.37,62.95,96,5.97,88
370,huarmey,pe,-10.07,-78.15,73.12,58,4.74,0
371,sept-iles,ca,50.2,-66.38,60.8,21,21.92,20
372,san patricio,mx,19.22,-104.7,85.72,70,6.42,48
373,marshall,us,39.39,-87.69,89.6,55,9.17,40
374,komsomolskiy,ru,67.55,63.78,18.49,83,6.87,32
375,srandakan,id,-7.94,110.25,66.19,97,1.95,8
376,shingu,jp,33.72,135.99,68.17,100,16.15,100
377,coquimbo,cl,-29.95,-71.34,62.6,72,8.05,0
378,kavieng,pg,-2.57,150.8,83.29,100,2.62,64
379,kathu,th,7.91,98.33,78.8,88,3.36,40
380,bayan,kw,29.3,48.05,96.8,19,3.36,5
381,norman wells,ca,65.28,-126.83,51.8,50,13.87,20
382,imeni poliny osipenko,ru,52.42,136.49,67.54,44,8.21,20
383,bilma,ne,18.69,12.92,78.97,21,5.41,0
384,boyolangu,id,-8.09,111.9,65.65,90,4.29,0
385,kourou,gf,5.16,-52.64,78.8,94,13.87,75
386,noyabrsk,ru,63.2,75.45,24.16,87,3.4,0
387,chokurdakh,ru,70.62,147.9,25.6,100,8.77,20
388,leningradskiy,ru,69.38,178.42,30.37,100,11.01,44
389,nelson bay,au,-32.72,152.14,57.2,93,9.17,90
390,honiara,sb,-9.43,159.96,75.2,100,2.24,40
391,novoagansk,ru,61.94,76.66,34.06,97,6.31,88
392,adrar,dz,27.87,-0.29,96.8,15,13.87,0
393,altay,cn,47.83,88.13,30.64,68,4.41,0
394,pozo colorado,py,-23.49,-58.8,81.22,45,10.78,0
395,mikuni,jp,36.22,136.15,66.2,68,3.36,75
396,santo angelo,br,-28.3,-54.26,72.22,48,7.76,0
397,borovoy,ru,63.23,52.89,41.44,73,6.98,80
398,kousseri,cm,12.08,15.03,91.4,49,5.82,0
399,tasiilaq,gl,65.61,-37.64,37.4,88,17.22,92
400,grindavik,is,63.84,-22.43,48.2,100,24.16,90
401,pucallpa,pe,-8.38,-74.54,87.8,66,6.93,75
402,gizo,sb,-8.1,156.84,78.97,100,14.47,92
403,ust-donetskiy,ru,47.64,40.87,58.09,31,12.01,0
404,tuatapere,nz,-46.13,167.69,36.31,100,3.4,0
405,brae,gb,60.4,-1.35,51.8,87,10.29,0
406,nanortalik,gl,60.14,-45.24,35.05,94,16.49,92
407,pandan,ph,11.72,122.09,84.19,100,14.03,48
408,vitim,ru,59.44,112.57,42.79,88,2.17,12
409,hede,cn,33.77,120.25,70.33,93,2.39,100
410,den helder,nl,52.96,4.76,68.0,88,11.41,90
411,dikson,ru,73.51,80.55,28.84,97,1.39,80
412,batemans bay,au,-35.71,150.18,47.92,100,7.09,36
413,east london,za,-33.02,27.91,65.92,100,17.05,0
414,nalut,ly,31.86,10.98,81.94,24,5.08,76
415,port said,eg,25.34,30.55,75.82,31,6.64,0
416,wismar,de,53.89,11.46,75.2,52,10.29,20
417,guerrero negro,mx,27.97,-114.04,68.44,69,12.01,0
418,yebaishou,cn,41.4,119.64,50.8,82,5.19,0
419,poykovskiy,ru,61.23,73.33,30.2,74,4.47,20
420,sicamous,ca,50.84,-118.99,71.6,26,8.05,90
421,doctor arroyo,mx,23.67,-100.18,90.22,26,1.39,0
422,igarka,ru,67.47,86.57,32.89,96,3.62,92
423,recco,it,44.37,9.15,73.4,60,2.24,20
424,rorvik,no,64.86,11.24,50.0,81,8.05,75
425,luena,ao,-11.78,19.91,57.91,76,2.51,0
426,saskylakh,ru,71.97,114.09,33.79,91,4.97,20
427,butembo,cd,0.12,29.29,58.81,92,2.39,20
428,rikitea,pf,-23.12,-134.97,75.91,100,10.0,8
429,fairbanks,us,64.84,-147.72,62.6,29,1.83,1
430,garoua,cm,9.31,13.39,86.0,74,11.41,20
431,punta arenas,cl,-53.16,-70.91,37.4,69,21.92,40
432,enid,us,36.4,-97.88,93.2,49,12.75,75
433,sambava,mg,-14.27,50.17,76.45,100,16.82,92
434,san cristobal,ec,-1.02,-79.44,65.74,100,1.72,80
435,vaini,to,-21.2,-175.2,74.83,100,13.8,44
436,parabel,ru,58.71,81.5,40.54,96,9.22,92
437,ormara,pk,25.21,64.64,88.42,49,12.24,0
438,isangel,vu,-19.55,169.27,73.03,100,15.48,68
439,santiago del estero,ar,-27.8,-64.26,84.37,43,13.8,24
440,moron,mn,47.38,110.32,40.81,76,2.84,0
441,kruisfontein,za,-34.0,24.73,55.57,94,8.66,0
442,albany,au,-35.02,117.88,51.25,90,7.87,0
443,katsuura,jp,33.93,134.5,68.0,94,3.36,90
444,romny,ru,50.73,129.29,61.51,64,8.1,0
445,kahului,us,20.89,-156.47,80.6,83,18.34,40
446,coolum beach,au,-26.53,153.09,59.17,100,2.62,12
447,katangli,ru,51.71,143.23,53.32,57,16.71,0
448,saint-philippe,re,-21.36,55.77,73.4,53,6.93,90
449,tres passos,br,-27.46,-53.93,73.03,48,6.31,0
450,ndjole,ga,-0.18,10.76,74.2,94,0.6,44
451,arnes,no,60.12,11.47,66.91,63,1.95,0
452,havre-saint-pierre,ca,50.23,-63.6,59.0,30,13.87,1
